Loan Amount,Funded Amount,Loan Term,Interest Rate,Loan Grade,Loan SubGrade,Employee Title,Employemen Length,Annual Income,Verification Status,Loan Issued Date,Loan Status,Loan Purpose,Title,Address State,Month since last Delinquency,Outstanding Principal,Total Payment,Total Recvd Principal,Total Recvd Interest,Total Recvd Late fees
1000,1000, 36 months,13.06%,C,C2,Bank of America,2 years,38000,Not Verified,11-Feb,Charged Off,home_improvement,Baby Room,NC,,0,846.23,620.71,186.57,14.99090468
15000,15000, 60 months,14.17%,C,C5,rassette capital,10+ years,70000,Not Verified,11-Feb,Charged Off,debt_consolidation,J & J,TX,,0,1051.05,524.85,524.22,0
18000,18000, 36 months,6.91%,A,A5,University Dental,10+ years,59928,Source Verified,11-Feb,Charged Off,medical,medical,AZ,50,0,13164.79,11061.93,1698.24,0
4000,4000, 36 months,14.17%,C,C5,Cabbyshack,8 years,26400,Source Verified,11-Feb,Charged Off,home_improvement,Vals home loan,MA,50,0,1800.24,1107.13,533.51,0
25000,25000, 60 months,16.40%,E,E1,,n/a,100000,Verified,11-Feb,Charged Off,small_business,PT Android Developer-Craigslist Reseller,CA,36,0,15124.19,7265.95,6838.49,0
12000,12000, 60 months,10.37%,B,B3,,3 years,73000,Source Verified,11-Feb,Charged Off,small_business,Nylife office,SC,,0,6171.84,4056.39,2114.59,0
4200,4200, 60 months,10.74%,B,B4,UMC OF EL PASO,3 years,40000,Not Verified,11-Feb,Charged Off,renewable_energy,Renewable Energy,TX,44,0,4740.42,3586.42,1136.84,15
25000,25000, 60 months,16.02%,D,D5,New Bedford Scale Co.Inc,10+ years,67200,Verified,11-Feb,Charged Off,debt_consolidation,Credit Card Consolidation,MA,,0,3041.1,1401.28,1622.12,0
25000,25000, 60 months,18.25%,F,F1,USPS,10+ years,60000,Verified,11-Feb,Charged Off,debt_consolidation,SET ME FREE OF DEBT,CA,61,0,25371.1,12622.02,10993.23,0
6000,6000, 36 months,12.68%,C,C1,,5 years,90000,Source Verified,11-Feb,Charged Off,credit_card,Closing out and old credit card,CA,,0,4830,3728.32,1082.24,0
20000,20000, 60 months,14.17%,C,C5,Development Design & Engineering INC,5 years,43000,Verified,11-Feb,Charged Off,small_business,Business Loan,CA,,0,1868.52,937.43,925.29,0
8875,8875, 36 months,10.74%,B,B4,The Laureate School,1 year,23000,Source Verified,11-Feb,Charged Off,other,Other Loan,CA,2,0,3268.96,2180.76,707.29,0
14400,14400, 36 months,13.80%,C,C4,Underground Functional Fitness,3 years,85000,Source Verified,11-Feb,Charged Off,credit_card,Credit Card consolidation,WI,4,0,9815.4,7257.56,2547.24,0
7000,7000, 36 months,5.79%,A,A2,,n/a,46932,Verified,11-Feb,Charged Off,major_purchase,Major Purchase Loan,CO,,0,4422.9,4039.78,371.9,0
5000,5000, 36 months,16.40%,E,E1,Starbucks Corporation,< 1 year,54996,Verified,11-Feb,Charged Off,other,My Loan,CA,47,0,4736.17,3339.73,1243.1,44.8646215
3250,3250, 36 months,10.74%,B,B4,On Site Management,7 years,32000,Source Verified,11-Feb,Charged Off,debt_consolidation,Loan,MT,34,0,2544.24,2040.73,492.95,0
2250,2250, 60 months,13.43%,C,C3,Road Ranger,2 years,8000,Source Verified,11-Feb,Charged Off,debt_consolidation,Debt Consolidation Loan,IL,,0,2792.65,2187.62,584.8,0
15000,15000, 60 months,20.11%,G,G1,Colliers International,2 years,36000,Source Verified,11-Feb,Charged Off,debt_consolidation,Debt Consolidation,SC,17,0,15481.45,6985.48,7354.41,0
25000,25000, 36 months,10.74%,B,B4,,10+ years,55000,Verified,11-Feb,Charged Off,small_business,Working Capital,TX,,0,11415.6,8766.39,2628.07,0
9200,9200, 60 months,16.02%,D,D5,"Fiserv, Inc.",< 1 year,50000,Verified,11-Feb,Charged Off,small_business,Personal Loan,GA,,0,11960.95,7489.11,4108.89,14.92360273
22000,22000, 60 months,15.65%,D,D4,Pacific Automotive Company,5 years,50000,Verified,11-Feb,Charged Off,debt_consolidation,i would like to be debt free,CA,,0,18625.92,9290.65,7560.26,0
9600,9600, 60 months,17.51%,E,E4,WET Enterprises,3 years,65000,Source Verified,11-Feb,Charged Off,small_business,Jet Launch,CA,37,0,4775.4,2054.57,2265.43,0
17050,17050, 60 months,15.65%,D,D4,,n/a,55000,Verified,11-Feb,Charged Off,debt_consolidation,odds for one,VA,,0,21305.94,11181.02,6934,0
20000,20000, 36 months,13.43%,C,C3,Pacific Gas and Electric,4 years,98000,Verified,11-Feb,Charged Off,debt_consolidation,Debt Consolidation,CA,53,0,22002.27,4264.4,1821.85,0
5500,5500, 36 months,7.66%,A,A5,Medtronic,6 years,48000,Verified,11-Jan,Charged Off,debt_consolidation,debt relief,CA,,0,2357.38,1832.38,384.77,0
2500,2500, 36 months,7.66%,A,A5,Clark County School District,10+ years,70800,Not Verified,11-Jan,Charged Off,car,Hobby Car,NV,,0,1479.09,1170.49,223.07,0
8500,8500, 36 months,6.92%,A,A3,Comcast Cable ,5 years,75000,Verified,11-Jan,Charged Off,debt_consolidation,Steve personal ,NH,,0,8437.2,7206.61,914.15,0
2375,2375, 36 months,10.00%,B,B2,DuMolin Community Living,n/a,9600,Source Verified,11-Feb,Charged Off,moving,sec. deposit and rent,CA,,0,76.64,56.62,19.71,0
17000,17000, 60 months,12.68%,C,C1,Card Data Services,< 1 year,42000,Source Verified,11-Feb,Charged Off,debt_consolidation,Payoff debts plus some extra cash out,WA,,0,16897.32,11338.66,5502.86,0
3800,3800, 36 months,7.29%,A,A4,HealthBridge Fitness Center,2 years,13200,Source Verified,11-Jan,Charged Off,debt_consolidation,T's highpercentconsolidation,IL,47,0,2124.52,1686.81,310.86,0
25000,25000, 60 months,16.02%,D,D5,Jefferson County Public Schools,8 years,70000,Verified,11-Feb,Charged Off,debt_consolidation,credit cards,KY,,0,3899.32,1647.81,2251.5,0
14125,14125, 60 months,10.37%,B,B3,Midco Diving & Marine,3 years,52000,Verified,11-Feb,Charged Off,debt_consolidation,Away we Go,CO,,0,11266.78,7054.8,3234.28,0
2000,2000, 36 months,14.91%,D,D2,Old Dominion Freight Lines Inc.,3 years,43200,Not Verified,11-Feb,Charged Off,debt_consolidation,turn around ,MO,66,0,2053.72,1522.01,503.51,0
10250,10250, 60 months,10.00%,B,B2,Bank of america,2 years,27552,Verified,11-Jan,Charged Off,small_business,Business Expansion,TX,,0,9844.38,6804.85,2550.4,0
10050,10050, 60 months,13.06%,C,C2,Lance Inc.,< 1 year,39000,Source Verified,11-Feb,Charged Off,home_improvement,jaskel,GA,74,0,4579.6,2637.5,1941.91,0
25000,25000, 60 months,18.62%,F,F2,"Scottrade, Inc.",10+ years,100000,Verified,11-Jan,Charged Off,debt_consolidation,DebtFreeSoon,FL,,0,10245.36,2733.73,4340.58,0
9600,9600, 60 months,12.68%,C,C1,coyne textile services,9 years,85000,Source Verified,11-Jan,Charged Off,debt_consolidation,Jon consolidation,NY,47,0,1518.09,829.77,680.48,0
15000,15000, 36 months,13.43%,C,C3,GALLO'S PIZZA AND SUBS,10+ years,75000,Source Verified,11-Feb,Charged Off,debt_consolidation,Debt Consolidation Loan,NY,37,0,6610.89,4723.72,1866.63,0
19000,19000, 60 months,16.02%,D,D5,PF Chang's China Bistro,5 years,50000,Verified,11-Jan,Charged Off,debt_consolidation,BOA payoff,FL,,0,3118.04,1067.54,1235.76,0
18000,18000, 60 months,14.17%,C,C5,,9 years,129000,Source Verified,11-Feb,Charged Off,debt_consolidation,Debt Consolidation Loan,NC,12,0,18613.85,11193.98,6422.35,0
8400,8400, 36 months,14.91%,D,D2,,10+ years,62400,Source Verified,11-Feb,Charged Off,small_business,Money to expand,MN,4,0,3585.65,1758.53,851.58,29.91747473
8000,8000, 36 months,5.79%,A,A2,Dekalb County Schools,4 years,40000,Source Verified,11-Jan,Charged Off,small_business,Small Business,GA,,0,1524.96,408.15,76.05,0
24250,24250, 60 months,12.61%,C,C2,qcd,< 1 year,54000,Verified,11-Jan,Charged Off,home_improvement,pool,FL,82,0,3281.64,1797.83,1480.99,0
10000,10000, 36 months,13.06%,C,C2,"Nutrimedia, LLC",7 years,84000,Verified,11-Feb,Charged Off,car,Upside Down,CA,2,0,2410.01,1405.66,614.06,0
25000,25000, 60 months,21.59%,G,G5,,4 years,60000,Source Verified,11-Feb,Charged Off,small_business,Working Capital,NY,25,0,12810.92,4612.37,7025.45,0
2300,2300, 36 months,13.43%,C,C3,RedVentures ,4 years,68000,Verified,11-Feb,Charged Off,debt_consolidation,A New Beginning,FL,36,0,330.31,158.03,75.25,0
20000,20000, 60 months,16.77%,E,E2,TBASE INC,6 years,100000,Verified,11-Feb,Charged Off,small_business,Small Business Loan,FL,30,0,3807.4,1333.99,1628.03,0
9000,9000, 36 months,7.66%,A,A5,rice &werthmann,3 years,86400,Not Verified,11-Jan,Charged Off,car,durango,MI,,0,8946.24,7863.44,1081.72,0
7000,7000, 36 months,5.79%,A,A2,Peace Over Violence,5 years,42000,Source Verified,11-Jan,Charged Off,credit_card,personal loan,CA,,0,6241.85,5525.6,612.25,0
16000,16000, 36 months,14.54%,D,D1,US POST OFFICE,10+ years,55530,Verified,11-Jan,Charged Off,debt_consolidation,debt consolidation loan,CA,,0,551.05,356.89,193.71,0
1000,1000, 36 months,10.00%,B,B2,,n/a,13728,Not Verified,11-Jan,Charged Off,credit_card,Credit Card Consolidation,AR,,0,161.35,121.24,39.51,0
24000,24000, 60 months,16.02%,D,D5,atsc,10+ years,90000,Verified,11-Jan,Charged Off,credit_card,payoff,MD,,0,21843.01,7730.63,6865.25,0
25000,25000, 60 months,16.02%,D,D5,Bank of America,10+ years,60000,Verified,11-Jan,Charged Off,small_business,business loan,MA,,0,29084.49,17247.11,10669.81,0
5000,5000, 36 months,10.74%,B,B4,Kaiser Permanente,3 years,132996,Verified,11-Jan,Charged Off,other,Personal legal fees,CA,44,0,815.4,600.97,212.58,0
12000,12000, 36 months,17.88%,E,E5,Celtic Property Management,2 years,57600,Verified,11-Feb,Charged Off,small_business,payoff,AZ,63,0,6063.54,3921.32,2134.1,0
15250,15250, 60 months,16.77%,E,E2,Chancellor Specialty Health Center,2 years,72000,Source Verified,11-Jan,Charged Off,vacation,Long Due Vacation!,NJ,,0,20442.36,12733.96,7220.74,0
5000,5000, 60 months,13.43%,C,C3,,4 years,40000,Not Verified,11-Jan,Charged Off,debt_consolidation,Brandons consolidation loan,PA,,0,2620.08,1378.33,1020.71,0
3600,3600, 36 months,16.02%,D,D5,At&t,3 years,39772,Verified,11-Jan,Charged Off,other,Personal ,CA,,0,1547.11,904.43,466.21,14.92299186
10800,10800, 60 months,14.17%,C,C5,Berry,4 years,33000,Verified,11-Jan,Charged Off,debt_consolidation,Answered,OH,,0,5045,2786.55,2243.05,0
17600,17600, 60 months,11.11%,B,B5,New York City Transit,7 years,87000,Verified,11-Jan,Charged Off,debt_consolidation,Pay off debt,NY,,0,8823.72,5599.98,3222.59,0
25000,25000, 60 months,16.02%,D,D5,New York City Department of Education,8 years,100000,Source Verified,11-Jan,Charged Off,debt_consolidation,Brian's Credit Card Consolidation Loan,NY,,0,17030.16,9226.73,7802.95,0
5600,5600, 60 months,12.68%,C,C1,Bath & Body Works,1 year,31000,Source Verified,11-Jan,Charged Off,credit_card,Fresh Start,VA,,0,5278.44,3797.56,1463.56,0
22000,22000, 60 months,17.88%,E,E5,vale management,9 years,60000,Verified,11-Jan,Charged Off,debt_consolidation,debt consolidation ,NJ,,0,28802.74,16718.68,11077.56,0
25000,25000, 36 months,16.40%,E,E1,US Army,10+ years,62400,Verified,11-Jan,Charged Off,debt_consolidation,2011 Consolidation,UT,,0,12958.69,8288.58,4063.34,0
6700,6700, 36 months,7.66%,A,A5,Tops Markets,< 1 year,12000,Verified,11-Jan,Charged Off,other,Debt Consolidation,NY,,0,5988.76,5062.07,788.82,44.72359496
1800,1800, 36 months,10.00%,B,B2,cellular sales,1 year,50004,Source Verified,11-Feb,Charged Off,other,personal,FL,55,0,1211.62,929.86,227.34,0
5500,5500, 60 months,13.43%,C,C3,Daedalus Projects Inc,1 year,95000,Source Verified,11-Jan,Charged Off,moving,JTH-Loan,MA,77,0,1010.88,537.08,469.8,0
25000,25000, 60 months,17.51%,E,E4,incNETWORKS,3 years,80000,Verified,11-Jan,Charged Off,small_business,Small Business Loan,NJ,,0,32999.31,19700.62,12282.86,28.67
10000,10000, 36 months,6.92%,A,A3,Cooper Standard Automotive,< 1 year,68700,Source Verified,11-Jan,Charged Off,credit_card,Janice's Credit Card Loan,MI,,0,10397.99,9080.51,1091.41,0
3000,3000, 36 months,11.11%,B,B5,Air comfort solutions,< 1 year,41000,Verified,11-Jan,Charged Off,medical,Dental surgery,OK,,0,2331.71,1786.62,458.64,0
3800,3800, 36 months,15.28%,D,D3,cablevision,4 years,75000,Source Verified,11-Jan,Charged Off,debt_consolidation,ESPN card,NY,,0,3885.87,2919.44,915.52,0
20000,20000, 60 months,16.40%,E,E1,Holland & Hart,7 years,58480,Not Verified,11-Jan,Charged Off,debt_consolidation,Debt Consolidation Loan,CO,24,0,14718.9,7976.38,6741.51,0
10000,10000, 36 months,14.54%,D,D1,Levy Restaurants,10+ years,34000,Verified,11-Jan,Charged Off,debt_consolidation,FranksHelp,CA,,0,5320.28,3404.41,1910.39,0
10750,10750, 36 months,12.68%,C,C1,horizon incorp,10+ years,30067.2,Not Verified,11-Jan,Charged Off,major_purchase,major investment 2010,OH,,0,10617.54,5148.62,1678.27,0
7200,7200, 36 months,6.91%,A,A5,Phoenix Sky Harbor Airport Transportation,1 year,20800,Verified,11-Jan,Charged Off,debt_consolidation,Wedding Ring Purchase,AZ,,0,7034.05,6103.91,773.13,0
22750,22750, 60 months,18.62%,F,F2,san diego regional center,1 year,36000,Verified,11-Feb,Charged Off,debt_consolidation,debt consolidation,CA,3,0,2977.05,1196.26,1743.39,28.10820615
25000,25000, 36 months,16.02%,D,D5,,3 years,90000,Verified,11-Jan,Charged Off,small_business,Expanding Clothing Business,NJ,,0,12035.28,7660.72,3765.37,0
21000,21000, 60 months,17.51%,E,E4,Frito-lay inc.,4 years,74000,Verified,11-Jan,Charged Off,debt_consolidation,Five and out,IL,,0,8970.73,4212.43,4756.68,0
9250,9250, 36 months,15.65%,D,D4,Boar's Head Provisions Co. Inc,10+ years,38000,Source Verified,11-Jan,Charged Off,debt_consolidation,My Loan,VA,,0,7664.21,5389.28,2034.2,0
7000,7000, 36 months,7.66%,A,A5,,2 years,250000,Source Verified,11-Feb,Charged Off,credit_card,ml Consol $7000.00,FL,,0,3423.59,2703.93,546.72,0
15000,15000, 60 months,20.11%,G,G1,Ocean Health Initiatives,3 years,40000,Source Verified,11-Jan,Charged Off,debt_consolidation,Consolidate Credit Card Payments,NJ,,0,14026.94,6137.16,6608.06,0
16000,16000, 60 months,16.40%,E,E1,schlumberger,1 year,70000,Source Verified,11-Feb,Charged Off,credit_card,janet credit card,AK,42,0,23165.32,15590.94,7535.5,0
10000,10000, 36 months,10.37%,B,B3,Horry County Schools,2 years,68000,Source Verified,11-Jan,Charged Off,debt_consolidation,Get out of Debt!,SC,39,0,10057.02,8411.4,1636.01,0
11000,11000, 60 months,14.91%,D,D2,USAF/DOD,10+ years,60000,Verified,11-Jan,Charged Off,debt_consolidation,My path to homeownership,UT,,0,5442.38,2641.08,2305.38,0
20000,20000, 60 months,16.40%,E,E1,Nationwide Insurance,6 years,65000,Source Verified,11-Jan,Charged Off,debt_consolidation,Jawad's Personal Loan,CA,,0,981.26,436.51,542.39,0
8000,8000, 60 months,15.65%,D,D4,COUNTRY Financial,3 years,60000,Verified,11-Jan,Charged Off,debt_consolidation,Debt Consolidation,NV,,0,1544.48,740.49,798.63,0
10000,10000, 60 months,18.99%,F,F3,tree frog data solutions  inc,< 1 year,38088,Source Verified,11-Jan,Charged Off,debt_consolidation,free,NY,,0,8664.18,3822.59,3956.68,0
14000,14000, 60 months,13.06%,C,C2,Surgical West Inc,10+ years,155004,Not Verified,11-Jan,Charged Off,debt_consolidation,Debt Loan,CA,72,0,1610.85,332.74,300.84,0
7500,7500, 60 months,14.91%,D,D2,Prospect Mortgage,2 years,58500,Not Verified,11-Jan,Charged Off,debt_consolidation,Recession Help,CA,50,0,5520.48,3174.91,2325.42,0
7000,7000, 60 months,13.43%,C,C3,Stony Brook Hospital,10+ years,47138,Not Verified,11-Jan,Charged Off,debt_consolidation,personal,NY,6,0,4764.91,2685.94,1808.49,0
13000,13000, 36 months,7.66%,A,A5,Motosport Inc,3 years,66000,Verified,11-Jan,Charged Off,small_business,Cutting Edge Company Needs Some Capital,OR,,0,3709.05,2625.24,602.76,0
4000,4000, 60 months,13.80%,C,C4,McCamey ISD,8 years,50000,Source Verified,11-Jan,Charged Off,debt_consolidation,Debt Consolidation,TX,,0,2291,1210.78,903.38,0
20000,20000, 36 months,10.74%,B,B4,"North Country Technology, Inc.",10+ years,54000,Source Verified,11-Jan,Charged Off,major_purchase,Major Purchase Loan,NY,,0,10853.5,8090.41,2330.07,0
4000,4000, 60 months,13.43%,C,C3,jp morgan chase,2 years,35004,Source Verified,11-Jan,Charged Off,debt_consolidation,my loan,OH,35,0,449.27,142.51,132.26,0
20000,20000, 36 months,14.54%,D,D1,Friedkin Business Services,2 years,120000,Verified,11-Jan,Charged Off,credit_card,Kathy's Consolidation,TX,,0,16130.52,9467.14,3609.61,0
14000,14000, 36 months,10.37%,B,B3,Bureau Veritas NA,10+ years,57600,Source Verified,11-Jan,Charged Off,debt_consolidation,2011 Resolutions,CA,28,0,14457.85,12127.06,2295.94,22.6971661
10000,10000, 60 months,19.36%,F,F4,CPC LOGISTICS/TIRE PRODUCTS,7 years,65000,Not Verified,11-Jan,Charged Off,debt_consolidation,debt consolidation,CA,16,0,5402.28,2114.46,3286.88,0
14000,14000, 36 months,10.37%,B,B3,Dade County Public School,7 years,40000,Verified,11-Jan,Charged Off,small_business,Small Business Loan,FL,25,0,4577.92,3102.15,982.32,0
15000,15000, 60 months,13.06%,C,C2,Vernon College,5 years,68000,Verified,11-Jan,Charged Off,debt_consolidation,Goodbye to Credit Cards & High Rates,TX,,0,17771.52,12348.65,5347.82,0
14000,14000, 60 months,13.06%,C,C2,City of Margate,10+ years,80004,Verified,11-Jan,Charged Off,debt_consolidation,2011 Loan,FL,75,0,2551.84,1375.64,1159.32,0
9600,9600, 60 months,10.74%,B,B4,Pho Jackie (Family Business),4 years,33000,Verified,11-Feb,Charged Off,debt_consolidation,Debt Consolidation Loan,CA,,0,1674.92,1001.92,655.6,14.99277074
25000,25000, 36 months,13.43%,C,C3,Stillwater Medical Center,10+ years,79000,Source Verified,11-Jan,Charged Off,credit_card,credit card loan,OK,,0,15285.72,11222.42,4001.64,40.95484267
6000,6000, 60 months,16.02%,D,D5,Tyco Electronics,10+ years,91000,Not Verified,11-Jan,Charged Off,debt_consolidation,personal loan,NC,50,0,3624.93,1694.43,1657.41,14.99223602
1000,1000, 36 months,7.29%,A,A4,,n/a,33240,Source Verified,11-Feb,Charged Off,debt_consolidation,Freedom,CA,,0,93.03,75.02,17.71,0
12000,12000, 60 months,15.65%,D,D4,Quality Autoworks,3 years,45000,Not Verified,11-Jan,Charged Off,credit_card,credit card refinance,OK,74,0,7705.27,3894.54,3327.71,0
10000,10000, 36 months,10.37%,B,B3,Au cafe inc. DBA Maison,10+ years,43200,Source Verified,11-Jan,Charged Off,debt_consolidation,payoff,NY,,0,5713.3,4334.09,1175.78,0
12000,12000, 60 months,18.25%,F,F1,Chicago Housing Authority,7 years,60000,Not Verified,11-Jan,Charged Off,debt_consolidation,I Want to Consolidate Now,IL,37,0,16243.32,9959.95,6238.01,0
14000,14000, 36 months,13.80%,C,C4,,5 years,65000,Not Verified,11-Jan,Charged Off,small_business,Jose's loan,CT,4,0,6226.55,4260.37,1918.09,47.65788135
6000,6000, 60 months,11.11%,B,B5,Regional Ambulance,4 years,31200,Source Verified,11-Jan,Charged Off,debt_consolidation,Mark,SC,21,0,392.37,173.97,217.69,0
5000,5000, 36 months,14.54%,D,D1,justice Works Youth Care,2 years,36000,Source Verified,11-Jan,Charged Off,other,car,PA,68,0,1394,809.57,394.71,0
7000,7000, 36 months,10.00%,B,B2,Optimus hc,4 years,29500,Source Verified,11-Jan,Charged Off,credit_card,Refinance loan,CT,,0,1581.16,1197.77,377.09,0
8000,8000, 60 months,16.40%,E,E1,City of Sacramento,9 years,36996,Source Verified,11-Jan,Charged Off,debt_consolidation,credit cards ,CA,,0,2654.57,631.71,922.25,14.91645116
25000,25000, 60 months,16.40%,E,E1,torrance steel window co.,6 years,119400,Source Verified,11-Jan,Charged Off,debt_consolidation,personal,CA,,0,27028.35,11921.82,9541.8,0
10000,10000, 36 months,7.66%,A,A5,Selective Insurance Company,8 years,96000,Not Verified,11-Jan,Charged Off,other,Debt Consolidation,NJ,,0,5300.6,4424.35,860.27,0
8000,8000, 60 months,13.43%,C,C3,brierley electric,8 years,96000,Not Verified,11-Jan,Charged Off,car,ameet,GA,,0,7319.42,4280.7,2504.8,0
9000,9000, 60 months,17.14%,E,E3,United States Air Force DOD,10+ years,60000,Verified,11-Jan,Charged Off,debt_consolidation,Chuck and Ronda's freedom,UT,,0,4878.21,2192.26,2279.34,0
4000,4000, 60 months,14.17%,C,C5,,n/a,36000,Verified,11-Jan,Charged Off,major_purchase,Personal Loan,OH,,0,2242.32,1269.21,966.15,0
16000,16000, 60 months,17.88%,E,E5,Compucom Systems,4 years,75108,Verified,11-Jan,Charged Off,debt_consolidation,My Freedom Loan,WA,,0,14677.21,1779.36,2260.34,0
5000,5000, 36 months,14.54%,D,D1,,< 1 year,66000,Not Verified,11-Jan,Charged Off,credit_card,credit cards,FL,24,0,5606.5,4328.08,1177.84,0
10000,10000, 36 months,10.37%,B,B3,Talent Partner,10+ years,30000,Verified,11-Jan,Charged Off,debt_consolidation,Eye On the Prize,CA,78,0,5729.52,4334.61,1175.96,16.2070008
5000,5000, 36 months,9.63%,B,B1,harbour lights restaurant,8 years,40000,Not Verified,11-Jan,Charged Off,credit_card,CC REFI 4 Kevin,NY,,0,2409.85,1506.23,415.09,0
5000,5000, 36 months,13.06%,C,C2,Nanny,1 year,22992,Source Verified,11-Jan,Charged Off,debt_consolidation,Debt,MD,,0,2475.58,1713.16,642.2,0
8000,8000, 36 months,11.11%,B,B5,USD 253,2 years,36000,Source Verified,11-Jan,Charged Off,debt_consolidation,Get Out of the Hole,KS,,0,4364.21,3212.83,961.25,0
9600,9600, 60 months,16.02%,D,D5,Chili's,< 1 year,24000,Not Verified,11-Jan,Charged Off,credit_card,Credit Card Refinance Loan,IL,,0,9712.4,5323.23,3785.61,0
20000,20000, 36 months,11.11%,B,B5,Dow Jones,10+ years,44000,Verified,11-Jan,Charged Off,small_business,Small Business Loan,NJ,,0,10374.12,6213.19,4158.34,0
5500,5500, 36 months,14.91%,D,D2,Toddler Town Daycare LLC,2 years,21700,Source Verified,11-Jan,Charged Off,debt_consolidation,Credit Card Consolidation,NY,,0,4426.51,3108.33,1180.53,0
12000,12000, 60 months,17.51%,E,E4,pampered on the pond,10+ years,70000,Not Verified,11-Jan,Charged Off,other,teeth and credit,NY,42,0,6553.36,2894.05,3136.51,0
5000,5000, 36 months,14.17%,C,C5,Liberty Tax Service,n/a,48000,Not Verified,11-Jan,Charged Off,car,Family Car Loan,WA,57,0,5818.23,4652.34,1165.59,0
4000,4000, 60 months,12.68%,C,C1,durman ,5 years,20000,Not Verified,11-Jan,Charged Off,small_business,sports bar ,IL,,0,444.52,145.42,124.94,0
5000,5000, 36 months,10.37%,B,B3,ford motor company,10+ years,38400,Verified,11-Jan,Charged Off,medical,job from hell,MN,4,0,381.85,118.87,43.16,0
16000,16000, 60 months,15.28%,D,D3,Duke energy,10+ years,90000,Verified,11-Jan,Charged Off,debt_consolidation,Debt consolidation,NC,59,0,14534.56,7809.34,5550.43,19.12463415
3600,3600, 60 months,10.37%,B,B3,KonicaMinolta Business Systems,10+ years,70000,Not Verified,11-Jan,Charged Off,credit_card,Credit Card Refinance ,CT,,0,925.8,576.36,344.4,0
4000,4000, 36 months,10.37%,B,B3,Walmart,8 years,54000,Verified,11-Jan,Charged Off,debt_consolidation,crystalblue57,WA,50,0,1057.61,683.27,224.21,0
7000,7000, 36 months,10.74%,B,B4,Pacific Marine Credit Union,10+ years,73000,Not Verified,11-Jan,Charged Off,debt_consolidation,Debt Consolidation,CA,,0,5479.68,4404.21,1063.95,0
2100,2100, 36 months,17.14%,E,E3,1125 memorex dr,10+ years,60000,Source Verified,11-Jan,Charged Off,debt_consolidation,vinman,CA,30,0,1187.67,744.97,378.03,14.97818711
7350,7350, 36 months,7.66%,A,A5,,10+ years,22000,Source Verified,11-Jan,Charged Off,other,Suitable Select,FL,,0,6417.04,5561.43,854.87,0
15000,15000, 60 months,13.43%,C,C3,Victor & Envelope Manufacturing,10+ years,43000,Source Verified,11-Jan,Charged Off,small_business,Start,IL,47,0,8615.25,5045.24,3567.64,0
10000,10000, 60 months,10.74%,B,B4,Sequent Welfare Benefit Trust,4 years,100000,Source Verified,11-Jan,Charged Off,small_business,Level 22,OH,,0,3798.89,2052.16,1289.1,0
4000,4000, 36 months,13.80%,C,C4,Walmart,< 1 year,12000,Verified,11-Jan,Charged Off,debt_consolidation,Debt Consolidation Loan,TX,,0,1236.78,751.69,337.91,0
20000,20000, 36 months,18.25%,F,F1,Olive Garden,7 years,62000,Verified,11-Jan,Charged Off,debt_consolidation,MY STUFF,IL,22,0,8802.37,4020.13,2491.28,0
10000,10000, 36 months,18.62%,F,F2,,n/a,35000,Source Verified,11-Jan,Charged Off,debt_consolidation,Debt Consolidation Loan,FL,24,0,3281.85,2004.67,1273.85,0
3000,3000, 36 months,5.42%,A,A1,,n/a,18000,Source Verified,11-Jan,Charged Off,debt_consolidation,lady417,MO,54,0,2518.79,2197.32,239.36,29.92397266
7000,7000, 60 months,11.11%,B,B5,Holy Trinity Serbian Orthodox Church,2 years,36000,Source Verified,11-Jan,Charged Off,debt_consolidation,Solution,CA,,0,3197.38,1802.03,1077.42,0
20000,20000, 36 months,18.62%,F,F2,First Service Residential Realty,< 1 year,62000,Verified,11-Jan,Charged Off,debt_consolidation,Debt Consolidation Loan,FL,,0,3646.45,2158.5,1484.05,0
6000,6000, 60 months,13.06%,C,C2,Arcata Assoc.,< 1 year,45100,Not Verified,11-Jan,Charged Off,debt_consolidation,Debt Consolidation,FL,55,0,4855.39,2836.78,1578.8,0
5000,5000, 60 months,10.37%,B,B3,State of Calif.,10+ years,77000,Not Verified,11-Jan,Charged Off,other,Mikes Loan,CA,,0,2678.75,1764.9,897.35,0
24000,24000, 60 months,16.40%,E,E1,TNT CONCRETE INC,6 years,90000,Verified,11-Jan,Charged Off,credit_card,Concrete Forman ,VA,,0,23427.92,12414.34,9369.41,0
15000,15000, 60 months,15.95%,E,E1,Brown and Caldwell,4 years,70000,Source Verified,11-Jan,Charged Off,small_business,Small Business Loan,CA,,0,7229.83,3319.97,3217.81,0
25000,25000, 60 months,13.72%,C,C5,Los Angeles Community District,10+ years,144000,Verified,11-Jan,Charged Off,debt_consolidation,Freedom,CA,,0,16976.62,6135.75,4845.15,0
1600,1600, 36 months,14.46%,D,D2,harris teeter,5 years,38000,Source Verified,11-Jan,Charged Off,debt_consolidation,debt loan,NC,,0,1094.93,747.91,297.9,0
4500,4500, 36 months,14.46%,D,D2,,n/a,50000,Verified,11-Jan,Charged Off,moving,Moving,PA,,0,619.24,409.64,209.56,0
4200,4200, 60 months,10.36%,B,B5,Crestview Rehab,6 years,44500,Not Verified,11-Jan,Charged Off,home_improvement,Basement Repair,OH,74,0,2432.34,1538.85,728.76,0
